# wavelength(Angstorms), SED (Lsun/Angstorms)
14325.00,19840.77
14375.00,19887.86
14425.00,19815.41
14475.00,19962.91
14525.00,19903.51
14570.00,19786.55
14620.00,19707.33
14675.00,19968.62
14725.00,20065.97
14775.00,20035.37
14825.00,20181.10
14875.00,20111.50
14925.00,20333.39
14975.00,20355.10
15025.00,20093.11
15075.00,20244.71
15125.00,20400.65
15175.00,20456.22
15225.00,20555.74
15275.00,20470.72
15325.00,20703.47
15375.00,20776.15
15425.00,20617.55
15475.00,20966.39
15525.00,20965.07
15575.00,20579.04
15625.00,20957.96
15675.00,20993.17
15725.00,20752.95
15775.00,20635.91
15825.00,20959.68
15875.00,20731.67
15925.00,21132.44
15975.00,21092.84
16050.00,21063.32
16150.00,21099.21
16250.00,21075.16
16350.00,21121.02
16450.00,20609.42
16550.00,20987.62
16650.00,20700.80
16750.00,20601.46
16850.00,20206.18
16950.00,20484.26
17050.00,20308.25
17150.00,20147.96
17250.00,19898.45
17350.00,19441.97
17450.00,19574.32
17550.00,19296.18
17650.00,19187.21
17750.00,18888.01
17850.00,18645.79
17950.00,18530.64
18050.00,18247.07
18150.00,17938.14
18250.00,18018.75
18350.00,17914.84
18450.00,17789.21
18550.00,17731.08
18650.00,17583.68
18750.00,17063.45
18850.00,17357.93
18950.00,17161.32
19050.00,17149.74
19150.00,17065.19
19250.00,16929.53
19350.00,16736.78
19450.00,16423.13
19550.00,16445.42
19650.00,16302.39
19750.00,16061.65
19850.00,16053.71
19950.00,15980.57
20050.00,16027.86
20150.00,15936.54
20250.00,15822.69
20350.00,15705.02
20450.00,15584.53
20550.00,15469.45
20650.00,15379.25
20750.00,15359.01
20850.00,15346.29
20950.00,15236.15
21050.00,15210.35
21150.00,15084.63
21250.00,15032.92
21350.00,14909.05
21450.00,14800.84
21550.00,14754.95
21650.00,14507.73
21750.00,14547.66
21850.00,14458.72
21950.00,14387.78
22050.00,14261.35
22150.00,14226.91
22250.00,14082.72
22350.00,14002.63
22450.00,13883.30
22550.00,13798.14
22650.00,13690.67
22750.00,13648.56
22850.00,13546.50
22950.00,12687.85
23050.00,12933.68
23150.00,12903.61
23250.00,12143.18
23350.00,12572.05
23450.00,12402.10
23550.00,11799.28
23650.00,12122.91
23750.00,12027.80
23850.00,11543.96
23950.00,11821.71
24050.00,11709.44
24150.00,11355.28
24250.00,11505.70
24350.00,11480.88
24450.00,11187.70
24550.00,11122.06
24650.00,11316.64
24750.00,10994.17
24850.00,10942.25
24950.00,10967.77
25050.00,11136.71
25150.00,10905.76
25250.00,10935.04
25350.00,10988.72
25450.00,10806.80
25550.00,10733.37
25650.00,10783.91
25750.00,10864.18
25850.00,10622.83
25950.00,10776.21
26050.00,10795.96
26150.00,10703.08
26250.00,10431.09
26350.00,10644.24
26450.00,10514.00
26550.00,10363.65
26650.00,10364.46
26750.00,10471.49
26850.00,10458.88
26950.00,10322.42
27050.00,10370.67
27150.00,10289.20
27250.00,10250.11
27350.00,10174.14
27450.00,10136.43
27550.00,10039.13
27650.00,10124.19
27750.00,10046.63
27850.00,9999.96
27950.00,9997.80
28050.00,9942.65
28150.00,9857.31
28250.00,9844.46
28350.00,9858.97
28450.00,9823.13
28550.00,9793.00
28650.00,9717.78
28750.00,9660.34
28850.00,9645.95
28950.00,9600.12
29050.00,9535.62
29150.00,9563.81
29250.00,9462.16
29350.00,9425.21
29450.00,9352.19
29550.00,9319.67
29650.00,9216.68
29750.00,9226.05
29850.00,9201.64
29950.00,9147.19
30050.00,9092.25
30150.00,9049.52
30250.00,9003.52
30350.00,8900.46
30450.00,8898.73
30550.00,8872.08
30650.00,8828.05
30750.00,8787.10
30850.00,8741.94
30950.00,8698.20
31050.00,8656.77
31150.00,8601.34
31250.00,8569.83
31350.00,8528.25
31450.00,8484.37
31550.00,8436.94
31650.00,8399.24
31750.00,8357.11
31850.00,8314.82
31950.00,8274.90
32100.00,8212.49
32300.00,8132.49
32500.00,8051.29
32700.00,7971.82
32900.00,7857.04
33100.00,7812.49
33300.00,7736.38
33500.00,7663.48
33700.00,7586.72
33900.00,7507.84
34100.00,7432.42
34300.00,7365.56
34500.00,7287.99
34700.00,7218.93
34900.00,7146.95
35100.00,7076.26
35300.00,7006.14
35500.00,6937.49
35700.00,6867.99
35900.00,6803.56
36100.00,6737.68
36300.00,6674.80
36500.00,6605.82
36700.00,6549.47
36900.00,6481.81
37100.00,6423.97
37300.00,6356.29
37500.00,6280.33
37700.00,6249.54
37900.00,6190.87
38100.00,6134.01
38300.00,6077.65
38500.00,6025.90
38700.00,5972.63
38900.00,5919.37
39100.00,5861.64
39300.00,5815.45
39500.00,5762.32
39700.00,5712.19
39900.00,5657.14
40100.00,5606.17
40300.00,5554.18
40500.00,5481.45
40700.00,5456.68
40900.00,5406.01
41100.00,5354.55
41300.00,5303.99
41500.00,5248.55
41700.00,5187.95
41900.00,5140.53
42100.00,5082.33
42300.00,5031.47
42500.00,4973.10
42700.00,4917.39
42900.00,4805.22
43100.00,4706.82
43300.00,4680.31
43500.00,4562.72
43700.00,4492.51
43900.00,4447.38
44100.00,4340.20
44300.00,4301.02
44500.00,4247.10
44700.00,4155.70
44900.00,4143.04
45100.00,4087.42
45300.00,4015.94
45500.00,3997.43
45700.00,3969.33
45900.00,3893.65
46100.00,3890.92
46300.00,3850.88
46500.00,3817.16
46700.00,3799.88
46900.00,3777.08
47100.00,3748.64
47300.00,3745.76
47500.00,3708.13
47700.00,3686.60
47900.00,3667.58
48100.00,3627.74
48300.00,3631.39
48500.00,3602.26
48700.00,3572.33
48900.00,3554.95
49100.00,3531.31
49300.00,3510.95
49500.00,3487.94
49700.00,3471.59
49900.00,3452.43
50100.00,3435.85
50300.00,3415.52
50500.00,3381.76
50700.00,3363.60
50900.00,3350.83
51100.00,3322.28
51300.00,3300.73
51500.00,3285.94
51700.00,3281.22
51900.00,3250.56
52100.00,3236.66
52300.00,3213.30
52500.00,3201.74
52700.00,3195.18
52900.00,3159.24
53100.00,3144.95
53300.00,3129.37
53500.00,3114.28
53700.00,3098.82
53900.00,3083.42
54100.00,3065.73
54300.00,3041.75
54500.00,3033.19
54700.00,3015.36
54900.00,2997.73
55100.00,2982.84
55300.00,2978.58
55500.00,2947.71
55700.00,2944.53
55900.00,2930.17
56100.00,2916.94
56300.00,2890.44
56500.00,2882.29
56700.00,2866.48
56900.00,2845.75
57100.00,2838.17
57300.00,2822.26
57500.00,2807.75
57700.00,2791.59
57900.00,2788.18
58100.00,2763.28
58300.00,2756.24
58500.00,2743.53
58700.00,2726.37
58900.00,2712.84
59100.00,2693.07
59300.00,2685.64
59500.00,2670.59
59700.00,2658.89
59900.00,2644.80
60100.00,2631.38
60300.00,2617.14
60500.00,2601.02
60700.00,2587.77
60900.00,2574.68
61100.00,2559.50
61300.00,2547.31
61500.00,2534.08
61700.00,2521.74
61900.00,2508.72
62100.00,2495.79
62300.00,2481.50
62500.00,2467.90
62700.00,2454.12
62900.00,2440.98
63100.00,2428.59
63300.00,2416.82
63500.00,2401.59
63700.00,2391.25
63900.00,2376.07
64200.00,2358.13
64600.00,2332.91
65000.00,2308.07
65400.00,2283.46
65800.00,2259.32
66200.00,2235.08
66600.00,2211.73
67000.00,2188.84
67400.00,2165.58
67800.00,2143.14
68200.00,2120.81
68600.00,2098.92
69000.00,2077.01
69400.00,2055.52
69800.00,2034.32
70200.00,2013.31
70600.00,1992.78
71000.00,1972.25
71400.00,1951.96
71800.00,1931.80
72200.00,1912.26
72600.00,1892.69
73000.00,1873.53
73400.00,1854.57
73800.00,1836.06
74200.00,1817.30
74600.00,1796.10
75000.00,1776.67
75400.00,1760.67
75800.00,1744.08
76200.00,1726.27
76600.00,1709.92
77000.00,1692.73
77400.00,1676.73
77800.00,1665.93
78200.00,1651.16
78600.00,1635.16
79000.00,1620.01
79400.00,1604.63
79800.00,1589.56
80200.00,1574.71
80600.00,1558.35
81000.00,1544.04
81400.00,1529.88
81800.00,1516.23
82200.00,1502.59
82600.00,1493.04
83000.00,1479.52
83400.00,1466.44
83800.00,1451.87
84200.00,1439.17
84600.00,1426.56
85000.00,1414.18
85400.00,1405.96
85800.00,1392.15
86200.00,1380.18
86600.00,1366.99
87000.00,1359.33
87400.00,1347.66
87800.00,1340.06
88200.00,1329.14
88600.00,1316.97
89000.00,1309.29
89400.00,1297.47
89800.00,1290.50
90200.00,1278.86
90600.00,1271.95
91000.00,1262.30
91400.00,1254.21
91800.00,1243.29
92200.00,1235.84
92600.00,1229.15
93000.00,1219.76
93400.00,1212.35
93800.00,1205.25
94200.00,1195.11
94600.00,1188.38
95000.00,1179.63
95400.00,1172.60
95800.00,1165.50
96200.00,1155.86
96600.00,1150.36
97000.00,1141.74
97400.00,1134.95
97800.00,1128.54
98200.00,1119.80
98600.00,1113.47
99000.00,1106.71
99400.00,1098.02
99800.00,1092.88
100000.00,1084.02
100900.00,1068.92
101900.00,1049.33
102800.00,1032.41
103800.00,1013.74
104700.00,998.00
105700.00,978.79
106700.00,960.94
107600.00,945.48
108600.00,927.77
109600.00,910.67
110700.00,892.43
111700.00,876.47
112700.00,861.61
113800.00,843.39
114800.00,827.84
115900.00,809.84
116900.00,795.13
118000.00,778.24
119100.00,761.47
120200.00,746.07
121300.00,732.44
122500.00,717.05
123600.00,704.84
124700.00,691.79
125900.00,677.88
127100.00,664.39
128200.00,652.35
129400.00,640.20
130600.00,628.63
131800.00,617.55
133000.00,606.78
134300.00,595.43
135500.00,585.17
136800.00,575.24
138000.00,565.93
139300.00,555.89
140600.00,546.02
141900.00,536.94
143200.00,528.36
144500.00,519.25
145900.00,509.81
147200.00,501.22
148600.00,493.22
150000.00,484.41
151400.00,477.61
152800.00,469.15
154200.00,462.19
155600.00,454.90
157000.00,447.18
158500.00,440.81
160000.00,433.47
161400.00,427.37
162900.00,420.57
164400.00,414.45
166000.00,407.69
167500.00,401.33
169000.00,395.66
170600.00,389.34
172200.00,382.62
173800.00,376.69
175400.00,371.21
177000.00,365.38
178600.00,359.02
180300.00,353.57
182000.00,346.87
183700.00,341.48
185400.00,335.60
187100.00,329.79
188800.00,324.08
190500.00,318.98
192300.00,313.26
194100.00,307.66
195900.00,302.18
197700.00,296.85
199500.00,291.69
201400.00,286.32
203200.00,281.36
205100.00,276.26
207000.00,271.40
208900.00,266.83
210900.00,261.32
212800.00,256.71
214800.00,251.98
216800.00,247.40
218800.00,242.95
220800.00,238.53
222800.00,234.47
224900.00,229.68
227000.00,225.49
229100.00,221.61
231200.00,217.63
233300.00,213.80
235500.00,209.87
237700.00,206.03
239900.00,202.32
242100.00,198.72
244300.00,195.14
246600.00,191.21
248900.00,187.67
251200.00,184.28
253500.00,180.99
255900.00,177.83
258200.00,174.71
260600.00,171.53
263000.00,168.43
265500.00,165.31
267900.00,162.37
270400.00,159.43
272900.00,156.60
275400.00,153.92
278000.00,150.99
280500.00,148.78
283100.00,146.13
285800.00,143.35
288400.00,140.88
291100.00,138.65
293800.00,136.06
296500.00,133.67
299200.00,131.33
302000.00,129.22
304800.00,126.89
307600.00,124.61
310500.00,122.01
313300.00,119.87
316200.00,117.72
319200.00,115.54
322100.00,113.48
325100.00,111.41
328100.00,109.40
331100.00,107.43
334200.00,105.47
337300.00,103.54
340400.00,101.69
343600.00,99.80
346700.00,98.05
349900.00,96.37
353200.00,94.60
356500.00,92.87
359700.00,91.24
363100.00,89.56
366400.00,87.96
369800.00,86.36
373300.00,84.76
376700.00,83.25
380200.00,81.73
383700.00,80.22
387300.00,78.78
390800.00,77.38
394500.00,75.92
398100.00,74.38
401800.00,73.03
405500.00,71.71
409300.00,70.39
413000.00,69.13
416900.00,67.84
420700.00,66.63
424600.00,65.40
428500.00,64.21
432500.00,63.03
436500.00,61.88
440600.00,60.79
444600.00,59.70
448700.00,58.61
452900.00,57.52
457100.00,56.46
461300.00,55.42
465600.00,54.29
469900.00,53.29
474200.00,52.33
478600.00,51.40
483100.00,50.43
487500.00,49.52
492000.00,48.61
496600.00,47.70
501200.00,46.71
505800.00,45.86
510500.00,45.03
515200.00,44.25
520000.00,43.44
524800.00,42.65
529700.00,41.87
534600.00,41.10
539500.00,40.36
544500.00,39.62
549500.00,38.90
554600.00,38.19
559800.00,37.48
564900.00,36.81
570200.00,36.13
575400.00,35.48
580800.00,34.82
586100.00,34.19
591600.00,33.55
597000.00,32.94
602600.00,32.33
608100.00,31.75
613800.00,31.16
619400.00,30.60
625200.00,30.03
631000.00,29.48
636800.00,28.94
642700.00,28.39
648600.00,27.87
654600.00,27.36
660700.00,26.85
666800.00,26.36
673000.00,25.88
679200.00,25.43
685500.00,24.96
691800.00,24.44
698200.00,23.99
704700.00,23.55
711200.00,23.12
717800.00,22.69
724400.00,22.28
731100.00,21.86
737900.00,21.46
744700.00,21.09
751600.00,20.70
758600.00,20.27
765600.00,19.89
772700.00,19.52
779800.00,19.17
787000.00,18.83
794300.00,18.47
801700.00,18.12
809100.00,17.74
816600.00,17.41
824100.00,17.11
831800.00,16.79
839500.00,16.48
847200.00,16.13
855100.00,15.85
863000.00,15.55
871000.00,15.26
879000.00,14.99
887200.00,14.67
895400.00,14.39
903600.00,14.14
912000.00,13.88
920400.00,13.58
929000.00,13.33
937600.00,13.08
946200.00,12.84
955000.00,12.57
